Designator,Package,Quantity,Designation
"C13,C9,C83,C82,C81,C80,C73,C72,C69,C68,C65,C64,C61,C60,C59,C58,C57,C56,C55,C54,C53,C52,C51,C50,C49,C48,C47,C39,C38,C37,C36,C35,C32,C24,C21,C20,C16,C10,C6,C5,C4,C3,C8",C_0402_1005Metric,43,100n
"C14,C7,C63,C62",C_0402_1005Metric,4,1u
"C15,C11",C_0603_1608Metric,2,2u2
"C19,C18",C_0201_0603Metric,2,18p 1%
"C28,C31,C30,C27,C26,C25,C22,C17",C_0402_1005Metric,8,10n
"C34,C23",C_0603_1608Metric,2,4u7
"C46,C45,C44,C33,C29,C2,C1",C_0805_2012Metric,7,22u
"C71,C70,C67,C66,C43,C42,C12",C_0805_2012Metric,7,10u
"C75,C74",C_0402_1005Metric,2,100p
"C79,C78,C77,C76",C_0201_0603Metric,4,100n
D1,D_0402_1005Metric,1,SESD0402X1BN-0010-098
"D16,D20",SOT-886,2,"PESD3V3L4UF,115"
"D17,D13,D14",SOT-886,3,"PESD5V0L5UF,115"
"D21,D19,D18,D15",D_0402_1005Metric,4,PESD0402-140
"D5,D4,D3,D2",WL-SMSW-1204,4,155124GS73200
"D7,D6",WL-SMSW-1204,2,155124BS73200
"D9,D12,D8,D11,D10",D_SOD-128,5,"PMEG3050EP,115"
FB1,L_0603_1608Metric,1,MPZ1608R391AT
"FB4,FB3,FB2",L_0603_1608Metric,3,BLM18BD601SN1D
J1,TE_1909763-1,1,1909763-1
"J11,J9,J14",JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,3,SM06B-GHS-TB(LF)(SN)
J12,Hirose_DF40HC-30DS-0.4V(51),1,DF40HC(3.5)-30DS-0.4V(51)
J13,Hirose_DF40C-60DP-0.4V(51),1,DF40C-60DP-0.4V(51)
J2,SMA_Amphenol_132134-16_Vertical,1,132134
"J5,J3",SAMTEC_MMCX-J-P-H-RA-TH1,2,MMCX-J-P-H-RA-TH1
J7,USB_Micro-B_Molex_47346-0001,1,47346-1001
"L2,L1",L_0603_1608Metric,2,744786139A
L3,L_CommonModeChoke_Murata_DLP31SNxxxML2,1,DLP31SN121ML2
L4,L_Murata_DFE322512C_3.2x2.5x1.2mm,1,1277AS-H-1R0M=P2
L5,L_Murata_DFE322512C_3.2x2.5x1.2mm,1,1277AS-H-4R7M=P2
"Q5,Q4,Q3,Q2,Q1",SOT-323_SC-70,5,BSS138PW
Q6,SOT-563,1,EMH3T2R
"R12,R11,R77,R73,R47,R45,R44,R1",R_0402_1005Metric,8,10k
"R29,R27,R23,R21,R18,R17",R_0402_1005Metric,6,5.6
"R31,R26,R25,R20",R_0402_1005Metric,4,1M
"R37,R36,R70,R69,R66,R65,R64,R63,R62,R61,R60,R59,R51,R38,R35,R34,R33,R32,R6",R_0402_1005Metric,19,100k
R39,R_0402_1005Metric,1,12k
"R43,R42,R41,R40",R_0402_1005Metric,4,10k DNS
"R46,R30,R28,R24,R22,R19",R_0402_1005Metric,6,1k
R48,R_0402_1005Metric,1,470k
R49,R_0402_1005Metric,1,383k
R50,R_0402_1005Metric,1,1k54
R52,R_0402_1005Metric,1,80k6
R54,R_0402_1005Metric,1,47k
R57,R_0402_1005Metric,1,560k
R58,R_0402_1005Metric,1,180k
"R67,R68,R55,R10,R9,R13,R15",R_0402_1005Metric,7,0
"R76,R75,R74",R_0402_1005Metric,3,33
"R78,R72,R71,R3,R2",R_0402_1005Metric,5,4k7
"R8,R7,R5,R4",R_0402_1005Metric,4,10K
"R80,R79",R_0402_1005Metric,2,6k49
"R88,R87,R86,R85,R84,R83,R82,R81",R_0402_1005Metric,8,49.9
SW1,CAS-D20B,1,CAS-D20B1
"SW3,SW2",PTS636_SK25F,2,PTS636 SK25F SMTR LFS
U1,Septentrio_ESP32-WROVER-IE,1,ESP32-WROVER-IE
U10,DFN-8-1EP_3x2mm_P0.45mm_EP1.66x1.36mm,1,MCP1642D-ADJI/MC
"U16,U11",SOT-353_SC-70-5,2,SN74LVC1G32DCK
"U19,U17,U12",SOT-353_SC-70-5,3,SN74LVC1G08DCK
"U20,U18,U15,U13,U2,U14",VSSOP-8_2.3x2mm_P0.5mm,6,SN74LVC2T45DCU
"U22,U21",QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias,2,KSZ8041NLI
U23,Septentrio_Mosaic-x,1,mosaic-H
U3,SOT-363_SC-70-6,1,SN74AUP1T97DCK
U4,FBGA-153_13.0x11.5x1.0mm,1,FEMCxxxGTT
U5,QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm,1,USB2512B-I/M2
U6,ST_SOT-666_1.6x1.2mm,1,USBLC6-2P6
U7,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,1,CP2102N-A02-GQFN24
U8,Texas_VQFN-HR-10_2.0x2.0x1.0mm,1,TPS25210ARPWR
U9,Texas_VQFN-HR-14_2.5x3.0x1mm,1,TPS630250RNC
Y1,Crystal_Murata_XRCGB_2.0x1.6x0.65mm,1,XRCGB24M000F2P00R0
